"season","team","team_name","conf","division","div","team_logo_espn","net_rating","off_rating","def_rating","net_epa_pp","net_success_rate","net_yards_per_play","net_available_yards_perc","net_explosiveness","net_negatives","off_total_plays","off_epa_pp","off_success_rate","off_explosiveness","off_negatives","def_total_plays","def_epa_pp","def_success_rate","def_explosiveness","def_negatives","off_season_drives","off_season_plays","off_season_available_yards","off_season_yards_gained","off_season_plays_per_drive","off_season_yards_per_play","off_season_available_yards_perc","def_season_drives","def_season_plays","def_season_available_yards","def_season_yards_gained","def_season_plays_per_drive","def_season_yards_per_play","def_season_available_yards_perc","off_pass_num_plays","off_pass_epa_pp","off_pass_success_rate","off_pass_explosiveness","off_pass_negatives","off_pass_big_plays","off_pass_air_yards_pp","off_pass_completions","off_pass_air_yards_pc","off_pass_yac_pc","off_pass_ypc","off_pass_comp_perc","off_pass_ypa","off_rush_num_plays","off_rush_epa_pp","off_rush_success_rate","off_rush_explosiveness","off_rush_negatives","off_rush_big_plays","off_rush_ypc","def_pass_num_plays","def_pass_epa_pp","def_pass_success_rate","def_pass_explosiveness","def_pass_negatives","def_pass_big_plays","def_pass_air_yards_pp","def_pass_completions","def_pass_air_yards_pc","def_pass_yac_pc","def_pass_ypc","def_pass_comp_perc","def_pass_ypa","def_rush_num_plays","def_rush_epa_pp","def_rush_success_rate","def_rush_explosiveness","def_rush_negatives","def_rush_big_plays","def_rush_ypc"
2020,"TB","Tampa Bay Buccaneers","NFC","NFC South","South","https://a.espncdn.com/i/teamlogos/nfl/500/tb.png",0.946761028435762,0.807482658394794,0.686902345479775,0.184802955734116,0.0420228451976558,1.12855187918479,0.112162522407594,0.0681234281496025,0.0407163387957744,1204,0.124478387205524,0.460963455149502,0.182221297225646,0.0539867109634551,1246,-0.0603245685285922,0.418940609951846,0.114097869076043,0.0947030497592295,206,1264,14213,7848,6.13592233009709,6.20886075949367,0.552170548089777,207,1295,14952,6579,6.256038647343,5.08030888030888,0.440008025682183,781,0.201921580169919,0.487836107554417,0.456528626101586,0.0460947503201024,0.10371318822023,8.96927016645327,484,7.2396694214876,4.71487603305785,11.9545454545455,0.619718309859155,7.16901408450704,423,-0.0185077444852387,0.411347517730496,-0.324242116136315,0.0685579196217494,0.0283687943262411,4.39007092198582,831,-0.0508904244125215,0.439229843561974,0.276128153945116,0.0878459687123947,0.0697954271961492,6.65342960288809,515,5.55922330097087,4.6621359223301,10.221359223301,0.619735258724428,5.84837545126354,415,-0.0792155896381217,0.378313253012048,-0.210353135083473,0.108433734939759,0.0120481927710843,3.86746987951807
2020,"GB","Green Bay Packers","NFC","NFC North","North","https://a.espncdn.com/i/teamlogos/nfl/500/gb.png",0.933049629699968,0.962322534700419,0.504764167914394,0.190973621949609,0.0507609472886584,0.965726589477961,0.113674254842907,0.0852367541160518,0.0189436386727713,1077,0.222021009296345,0.515320334261838,0.132816895512198,0.0538532961931291,1044,0.0310473873467368,0.46455938697318,0.047580141396146,0.0727969348659004,162,1125,11797,7022,6.94444444444444,6.24177777777778,0.595236076968721,169,1094,11986,5772,6.47337278106509,5.27605118829982,0.481561822125813,621,0.307453439738116,0.539452495974235,0.390863280880391,0.0563607085346216,0.107890499194847,7.58615136876006,418,5.6244019138756,6.01674641148325,11.6411483253589,0.673107890499195,7.51046698872786,456,0.105675528365776,0.482456140350877,-0.218601537193171,0.0504385964912281,0.0241228070175439,5.10526315789474,622,0.0317827603892507,0.471061093247588,0.248781842043031,0.0787781350482315,0.0707395498392283,6.86977491961415,374,5.74598930481283,5.2620320855615,11.0080213903743,0.601286173633441,6.21221864951768,422,0.0299634962745954,0.454976303317536,-0.24897781548149,0.0639810426540284,0.023696682464455,4.47630331753555
2019,"BAL","Baltimore Ravens","AFC","AFC North","North","https://a.espncdn.com/i/teamlogos/nfl/500/bal.png",0.926973462817591,0.96493431304399,0.558760333486249,0.284107420543893,0.0670017949893065,0.991507217509839,0.1717674405094,0.0854985609312795,0.0289632981973724,1091,0.182528454726255,0.47846012832264,0.221426362405437,0.0595783684692942,960,-0.101578965817638,0.411458333333333,0.135927801474158,0.0885416666666667,159,1129,11389,6848,7.10062893081761,6.06554472984942,0.601281938712793,167,1013,11967,5140,6.06586826347305,5.07403751233959,0.429514498203393,521,0.225199021349544,0.470249520153551,0.51908567290057,0.0575815738963532,0.09021113243762,8.40690978886756,312,6.71794871794872,4.84935897435897,11.5673076923077,0.598848368522073,6.64875239923225,570,0.143526059619704,0.485964912280702,-0.0506446915734474,0.0614035087719298,0.0421052631578947,5.84210526315789,596,-0.148718346508595,0.407718120805369,0.359766606854565,0.0805369127516778,0.0788590604026846,8.04865771812081,323,5.88544891640867,5.32507739938081,11.2229102167183,0.541946308724832,5.64093959731544,364,-0.0243947051258517,0.417582417582418,-0.230577495247608,0.101648351648352,0.0302197802197802,4.7032967032967
2018,"CHI","Chicago Bears","NFC","NFC North","North","https://a.espncdn.com/i/teamlogos/nfl/500/chi.png",0.914143483170559,0.566406918838933,0.927706856497081,0.167716384060915,0.0559099853996064,0.905667510450777,0.0991367967857599,0.0584131646090844,0.0107598552656637,1062,0.024646547854437,0.451977401129944,0.0656898776080697,0.0847457627118644,1068,-0.143069836206478,0.396067415730337,0.00727671299898529,0.0955056179775281,191,1119,13266,6127,5.8586387434555,5.47542448614835,0.461857379767828,193,1111,13997,5077,5.75647668393782,4.56975697569757,0.362720582982068,594,0.0709215520568268,0.46969696969697,0.278262275839896,0.063973063973064,0.0858585858585859,8.32996632996633,370,6.45675675675676,4.48918918918919,10.9459459459459,0.622895622895623,6.503367003367,468,-0.0340871113255193,0.429487179487179,-0.204113550916941,0.111111111111111,0.0384615384615385,4.31196581196581,708,-0.118856234344156,0.427966101694915,0.20668201993044,0.0932203389830508,0.0593220338983051,7.24435028248588,402,5.45522388059702,4.79353233830846,10.2487562189055,0.567796610169492,5.33757062146893,360,-0.190689919869046,0.333333333333333,-0.384887057299541,0.1,0.0166666666666667,3.6
2014,"DEN","Denver Broncos","AFC","AFC West","West","https://a.espncdn.com/i/teamlogos/nfl/500/den.png",0.908906586489254,0.796885099184024,0.836243249283057,0.145823019334076,0.0627877154292249,1.10064013404586,0.0902622336843896,0.0151519246384227,0.031631136159438,1113,0.0809243909395705,0.456424079065589,0.109714390725027,0.0610961365678347,1100,-0.0648986283945052,0.393636363636364,0.094562466086604,0.0927272727272727,210,1177,14853,6699,5.6047619047619,5.69158878504673,0.451019995960412,205,1149,14622,5275,5.60487804878049,4.59094865100087,0.360757762276022,671,0.153611246811692,0.487332339791356,0.363104154927761,0.03725782414307,0.104321907600596,8.3397913561848,425,7.05882352941176,4.68235294117647,11.7411764705882,0.633383010432191,7.25037257824143,442,-0.0294214920699166,0.409502262443439,-0.274956495655142,0.0972850678733032,0.0316742081447964,4.28280542986425,727,-0.0267839669966467,0.418156808803301,0.2975963692482,0.0839064649243466,0.061898211829436,7.14030261348006,426,5.14553990610329,4.53521126760563,9.68075117370892,0.585969738651995,5.32599724896836,373,-0.139186453692744,0.345844504021448,-0.301163130692163,0.109919571045576,0.0214477211796247,3.70241286863271
2015,"ARI","Arizona Cardinals","NFC","NFC West","West","https://a.espncdn.com/i/teamlogos/nfl/500/ari.png",0.907839484523826,0.939094044932741,0.647439396131391,0.160631833771312,0.0652273664755558,1.17078042362392,0.103578947054093,-0.0360958484169951,0.0276170087582698,1129,0.0859764786290191,0.463241806908769,0.151425508623126,0.0761736049601417,1108,-0.0746553551422933,0.398014440433213,0.187521357040121,0.103790613718412,210,1191,15132,7420,5.67142857142857,6.23005877413938,0.4903515728258,210,1164,15226,5889,5.54285714285714,5.05927835051546,0.386772625771706,671,0.170356624360695,0.497764530551416,0.420029060610844,0.0506706408345753,0.105812220566319,10.3651266766021,401,8.23441396508728,5.12967581047382,13.3640897755611,0.597615499254843,7.70640834575261,458,-0.0376459619516675,0.412663755458515,-0.242096289158006,0.11353711790393,0.0283842794759825,4.47161572052402,687,-0.0434568931724758,0.417758369723435,0.401773105829571,0.0756914119359534,0.0902474526928675,7.98398835516739,386,5.92746113989637,5.86787564766839,11.7953367875648,0.561863173216885,6.21251819505095,421,-0.125565909473088,0.365795724465558,-0.162100855355013,0.149643705463183,0.0356294536817102,4.17577197149644
2014,"SEA","Seattle Seahawks","NFC","NFC West","West","https://a.espncdn.com/i/teamlogos/nfl/500/sea.png",0.897250877722403,0.779975414334329,0.875310317749279,0.204274329121511,0.0337198733963307,1.01650133169991,0.106241374376612,0.201674921393866,0.00260865064177221,1174,0.0921222102060741,0.441226575809199,0.186858053095409,0.0894378194207836,1119,-0.112152118915436,0.407506702412869,-0.0148168682984574,0.0920464700625559,210,1213,14700,6905,5.77619047619048,5.69249793899423,0.469727891156463,205,1179,15167,5513,5.75121951219512,4.67599660729432,0.363486516779851,580,0.0801885318038114,0.413793103448276,0.553614424834001,0.105172413793103,0.122413793103448,8.11896551724138,329,6.45896656534954,6.41337386018237,12.8723404255319,0.567241379310345,6.78793103448276,594,0.103774623460809,0.468013468013468,-0.171254229073588,0.0740740740740741,0.031986531986532,5.45791245791246,667,-0.0675760180375123,0.436281859070465,0.208927213919422,0.0719640179910045,0.0599700149925037,7.36281859070465,392,5.50765306122449,4.58418367346939,10.0918367346939,0.587706146926537,5.53673163418291,452,-0.177931453618037,0.365044247787611,-0.344987892279267,0.121681415929204,0.0176991150442478,3.6216814159292
2015,"SEA","Seattle Seahawks","NFC","NFC West","West","https://a.espncdn.com/i/teamlogos/nfl/500/sea.png",0.892967145187596,0.766549473327526,0.779342635260584,0.175569343288659,0.0663240611565071,0.750934904064995,0.10793236901101,0.0516074334895539,0.0101458571641509,1133,0.0908985993766375,0.46954986760812,0.0763100046102967,0.0847308031774051,1054,-0.0846707439120214,0.403225806451613,0.0247025711207428,0.094876660341556,196,1173,13904,6451,5.98469387755102,5.49957374254049,0.463967203682394,195,1102,14698,5233,5.65128205128205,4.7486388384755,0.356034834671384,615,0.193295861348189,0.48780487804878,0.39656685928777,0.0829268292682927,0.107317073170732,7.94634146341463,377,6.73474801061008,5.38992042440318,12.1193633952255,0.613008130081301,6.90081300813008,518,-0.0306734394505904,0.447876447876448,-0.303917728259677,0.0868725868725869,0.0231660231660232,4.76833976833977,637,-0.056530796986227,0.420722135007849,0.241890912153277,0.0800627943485086,0.0800627943485086,8.03767660910518,366,6.27049180327869,4.45628415300546,10.7267759562842,0.574568288854003,5.72056514913658,417,-0.127656706002503,0.376498800959233,-0.307069546955335,0.117505995203837,0.0119904076738609,3.65707434052758
2016,"ATL","Atlanta Falcons","NFC","NFC South","South","https://a.espncdn.com/i/teamlogos/nfl/500/atl.png",0.891316359595559,0.937863753991418,0.29478903006544,0.149531974817732,0.0311986630497049,1.21853445447472,0.0918797846657966,0.0596539295516785,-0.0142723907725541,1167,0.200334983351218,0.49528706083976,0.170161310277859,0.0908311910882605,1267,0.0508030085334863,0.464088397790055,0.11050738072618,0.0765588003157064,206,1215,14418,8062,5.89805825242718,6.63539094650206,0.559162158413095,208,1317,15267,7134,6.33173076923077,5.41685649202733,0.467282373747298,683,0.32133249854228,0.540263543191801,0.419258613802973,0.0717423133235725,0.120058565153734,8.16251830161054,444,7.33108108108108,6.12387387387387,13.454954954955,0.650073206442167,8.31918008784773,484,0.0295884898068059,0.431818181818182,-0.181354099448698,0.117768595041322,0.0330578512396694,4.64876033057851,839,0.0861364169378452,0.477949940405244,0.253904119545898,0.0738974970202622,0.0786650774731824,7.74731823599523,509,6.13555992141454,4.6188605108055,10.7524557956778,0.606674612634088,6.18474374255066,428,-0.0184603785021612,0.436915887850467,-0.170590432053595,0.0817757009345794,0.0303738317757009,4.67990654205607
2017,"JAX","Jacksonville Jaguars","AFC","AFC South","South","https://a.espncdn.com/i/teamlogos/nfl/500/jax.png",0.881057137391026,0.5486396365406,0.901876658494646,0.186214641037023,0.0197138306248352,0.745082602338727,0.0847623250376198,0.0508934595732192,0.0397733412895678,1253,0.0219172178126736,0.415003990422985,0.109640202374623,0.0670391061452514,1189,-0.164297423224349,0.39529015979815,0.0587467428014038,0.106812447434819,233,1301,16636,6898,5.58369098712446,5.30207532667179,0.414642943015148,238,1237,17088,5637,5.19747899159664,4.55699272433306,0.329880617977528,644,0.0560227231156667,0.450310559006211,0.369152804457917,0.0559006211180124,0.0822981366459627,7.34006211180124,365,5.67945205479452,6.12876712328767,11.8082191780822,0.566770186335404,6.4611801242236,609,-0.0141483740019857,0.377668308702791,-0.16478691706978,0.0788177339901478,0.0229885057471264,4.4367816091954,705,-0.206669390710048,0.388652482269504,0.293982450567585,0.10354609929078,0.075177304964539,7.90780141843972,371,5.90296495956873,4.88140161725067,10.7843665768194,0.526241134751773,5.12482269503546,484,-0.102577925130512,0.40495867768595,-0.283900310866278,0.111570247933884,0.0185950413223141,4.40702479338843
